"pop" "Latitude" "Longitude" "ind"
"132" "Looe Key Shallow" 24.5454 -81.40776 "378.bam"
"133" "Looe Key Shallow" 24.5454 -81.40776 "384.bam"
"134" "Looe Key Shallow" 24.5454 -81.40776 "377.bam"
"135" "Marquesas Rock" 24.45597 -82.23144 "116.bam"
"136" "Marquesas Rock" 24.45597 -82.23144 "117.bam"
"137" "Maryland Shoal" 24.50767 -81.57307 "306.bam"
"138" "Maryland Shoal" 24.50767 -81.57307 "311.bam"
"139" "Maryland Shoal" 24.50767 -81.57307 "316.bam"
"140" "Maryland Shoal" 24.50767 -81.57307 "314.bam"
"141" "Middle Ground" 24.47577 -81.89539 "176.bam"
"142" "Middle Ground" 24.47577 -81.89539 "175.bam"
"143" "Middle Ground" 24.47577 -81.89539 "168.bam"
"144" "Middle Ground" 24.47577 -81.89539 "178.bam"
"145" "Middle Ground" 24.47577 -81.89539 "177.bam"
"146" "Middle Ground" 24.47577 -81.89539 "169.bam"
"147" "Middle Sambo" 24.48838 -81.67699 "271.bam"
"148" "Middle Sambo" 24.48838 -81.67699 "272.bam"
"149" "Molasses Deep" 25.00401 -80.38106 "526.bam"
"150" "Molasses Deep" 25.00401 -80.38106 "527.bam"
"151" "Molasses Deep" 25.00401 -80.38106 "525.bam"
"152" "Molasses Deep" 25.00401 -80.38106 "528.bam"
"153" "Molasses Deep" 25.00401 -80.38106 "529.bam"
"154" "Molasses Shallow" 25.00609 -80.38197 "537.bam"
"155" "Molasses Shallow" 25.00609 -80.38197 "538.bam"
"156" "Molasses Shallow" 25.00609 -80.38197 "536.bam"
"157" "Molasses Shallow" 25.00609 -80.38197 "535.bam"
"158" "Molasses Shallow" 25.00609 -80.38197 "539.bam"
"159" "Mosquito Bank" 25.07595 -80.39043 "571.bam"
"160" "Mosquito Bank" 25.07595 -80.39043 "572.bam"
"161" "Mosquito Bank" 25.07595 -80.39043 "574.bam"
"162" "Mosquito Bank" 25.07595 -80.39043 "570.bam"
"163" "New Grounds Shoal" 24.66314 -82.44994 "98.bam"
"164" "New Grounds Shoal" 24.66314 -82.44994 "104.bam"
"165" "New Grounds Shoal" 24.66314 -82.44994 "89.bam"
"166" "New Grounds Shoal" 24.66314 -82.44994 "96.bam"
"167" "New Grounds Shoal" 24.66314 -82.44994 "88.bam"
